gene	time1	time2	time3	time4	time5	time6	time7	time8	time9	time10
F2	17.568244	17.879044	17.864695	17.563708	17.596796	17.822574	17.809087	17.456324	16.927812	16.74373
F2	17.474069	17.672424	17.949042	17.512699	17.653551	17.917589	17.690298	17.294565	16.927812	17.070526
F2	17.5178	17.722311	18.047245	17.512699	17.701573	17.822574	17.763303	17.236795	16.810779	17.070526
F2	17.431984	17.879044	17.999947	17.466547	17.653551	17.73708	17.650048	17.336451	16.964786	17.116842
F2	17.474069	17.767743	17.902751	17.422488	17.596796	17.707209	17.650048	17.236795	16.760427	16.939801
F2	17.474069	17.722311	17.999947	17.422488	17.653551	17.861407	17.690298	17.236795	16.810779	17.116842
F2	17.474069	17.672424	18.047245	17.37318	17.46154	17.861407	17.724089	17.177491	16.964786	17.070526
F2	17.474069	17.767743	17.999947	17.422488	17.653551	17.707209	17.690298	17.393209	16.885074	17.070526
F2	17.431984	17.605197	18.086701	17.466547	17.596796	17.707209	17.650048	17.098845	16.760427	16.983197
F2	17.379483	17.550002	17.999947	17.466547	17.527163	17.822574	17.690298	17.044719	16.760427	16.901396
F2	17.474069	17.550002	18.086701	17.422488	17.596796	17.73708	17.536008	17.177491	16.927812	17.027673
F2	17.317356	17.434177	17.864695	17.563708	17.46154	17.707209	17.690298	17.177491	16.810779	17.116842
F2	17.431984	17.434177	17.820845	17.466547	17.596796	17.861407	17.763303	17.141387	16.927812	17.116842
F2	17.379483	17.372926	17.713474	17.326937	17.653551	17.822574	17.724089	16.992299	16.760427	17.070526
F2	17.62143	17.767743	17.949042	17.466547	17.653551	17.861407	17.724089	17.044719	16.853962	17.200628
F2	17.379483	17.605197	17.999947	17.466547	17.596796	17.994336	17.763303	17.098845	16.66096	17.070526
F2	17.62143	17.722311	17.820845	17.466547	17.701573	17.861407	17.690298	17.177491	16.708255	17.156952
F2	17.317356	18.116642	18.123868	17.563708	17.789527	18.307927	18.119507	17.588063	16.964786	17.027673
F2	17.379483	17.550002	17.713474	17.23093	17.323801	18.307927	17.956042	17.336451	16.927812	17.200628
F2	17.431984	17.879044	17.864695	17.151025	17.323801	18.132193	18.002707	17.393209	17.152024	17.116842
F2	17.431984	17.722311	17.949042	17.422488	17.375763	17.994336	18.173747	17.532097	17.010509	17.200628
F2	17.431984	18.116642	17.668627	17.37318	17.653551	18.060958	18.30686	17.365385	17.199076	17.116842
F2	17.5178	17.879044	17.864695	17.151025	17.596796	17.73708	18.531488	17.336451	16.853962	16.983197
F2	17.62143	17.916175	18.047245	17.609199	17.914309	18.469465	17.763303	17.393209	17.010509	17.318106
F2	17.431984	17.722311	17.668627	17.151025	17.527163	17.707209	17.690298	17.177491	16.708255	17.156952
